"10","300000000.0000"
"10000","0.0000"
"10001","1125000.0000"
"10002","0.0000"
"10003","0.0000"
"10004","0.0000"
"10013","0.0000"
"10018","0.0000"
"1002","18100000.0000"
"10020","0.0000"
"10042","0.0000"
"10047","0.0000"
"10050","117000000.0000"
"10052","194500000.0000"
"10053","0.0000"
"1006","4300000.0000"
"10062","0.0000"
"10065","255400000.0000"
"10072","22300000.0000"
"10074","0.0000"
"10078","209600000.0000"
"10079","0.0000"
"10080","139300000.0000"
"10090","0.0000"
"10098","46200000.0000"
"10101","1391500000.0000"
"10124","0.0000"
"10132","2000000.0000"
"10133","0.0000"
"10135","57900000.0000"
"10140","26800000.0000"
"10143","87900000.0000"
"10162","403000000.0000"
"10164","6000000.0000"
"10172","0.0000"
"10173","0.0000"
"10178","386800000.0000"
"1018","325500000.0000"
"1150","35500000.0000"
"11503","0.0000"
"11505","39680.0000"
"11506","0.0000"
"1151","0.0000"
"11510","158350000.0000"
"11518","43700000.0000"
"11524","46900000.0000"
"11527","0.0000"
"11529","96300000.0000"
"1154","155600000.0000"
"11546","30400000.0000"
"11548","10000000.0000"
"1156","0.0000"
"11563","290500000.0000"
"11564","248600000.0000"
"11567","175500000.0000"
"11569","280500000.0000"
"1157","85760000.0000"
"11577","478100000.0000"
"11579","0.0000"
"11580","0.0000"
"11585","0.0000"
"11586","0.0000"
"11587","0.0000"
"11593","0.0000"
"11595","305500000.0000"
"11599","0.0000"
"11602","106800000.0000"
"11603","52000000.0000"
"11614","0.0000"
"11619","103800000.0000"
"11622","0.0000"
"11623","176700000.0000"
"11636","1400000.0000"
"11638","125800000.0000"
"11642","0.0000"
"11643","287700000.0000"
"11649","1940000000.0000"
"11650","0.0000"
"11651","42800000.0000"
"11652","668300000.0000"
"11658","0.0000"
"12892","0.0000"
"12894","376000000.0000"
"12895","102200000.0000"
"12896","0.0000"
"12906","133000000.0000"
"12908","0.0000"
"12911","20000000.0000"
"12915","0.0000"
"12918","0.0000"
"12919","0.0000"
"12920","0.0000"
"12921","0.0000"
"12922","3500000.0000"
"12924","0.0000"
"12925","0.0000"
"12930","0.0000"
"12932","35600000.0000"
"12933","39100000.0000"
"12935","0.0000"
"12944","140500000.0000"
"12945","0.0000"
